320	340	359	379	399	418	438	457	477	497	516	536	556	575	595	614	634	654	673	693	712	732	752	771	
320	340	359	379	399	418	438	457	477	497	516	536	556	575	595	614	634	654	673	693	712	732	752	771	
320	340	359	379	399	418	438	457	477	497	516	536	556	575	595	614	634	654	673	693	712	732	752	771	
477	491	505	518	532	546	560	573	587	601	614	628	642	656	669	683	697	711	724	738	752	765	779	793	
477	491	505	518	532	546	560	573	587	601	614	628	642	656	669	683	697	711	724	738	752	765	779	793	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
833	823	814	805	795	786	776	767	758	748	739	730	720	711	702	692	683	673	664	655	645	636	627	617	
833	823	814	805	795	786	776	767	758	748	739	730	720	711	702	692	683	673	664	655	645	636	627	617	
96	94	93	91	89	87	85	83	81	79	77	75	73	71	69	67	65	63	61	59	57	55	53	51	
93	87	82	76	71	65	60	54	49	43	38	32	27	21	16	10	5	0	-5	-11	-16	-22	-27	-33	
